item_number,name,description,brand,unit,cost_price,list_price,sale_price,product_status,barcode,metadata_json
000-1,超商運費,超商運費,Unknown,件,75,75,0,active,,"{'category': '運費', 'safety_stock': 0, 'stock_qty': -1554, 'supplier': ''}"
007,Muc-Off 防咬死銅膏 450g,Muc-Off 防咬死銅膏 450g,Unknown,瓶,0,0,0,active,5037835007008,"{'category': 'Muc-Off', 'safety_stock': 1, 'stock_qty': 1, 'supplier': ''}"
08-0743,Motion Pro 重型離合器夾持工具,Motion Pro 重型離合器夾持工具,Unknown,個,6089,0,0,active,08-0743,"{'category': 'Motion Pro', 'safety_stock': 0, 'stock_qty': 1, 'supplier': ''}"
1-11379A,Snap-on EEWH310B拆胎機零件 接頭,Snap-on EEWH310B拆胎機零件 接頭,Unknown,件,0,0,0,active,1-11379A,"{'category': 'Snap-on 零件', 'safety_stock': 0, 'stock_qty': 5, 'supplier': ''}"
1-13579A,"Snap-on EEWH310B拆胎機零件 Y FITTING 4X6 1/8""","Snap-on EEWH310B拆胎機零件 Y FITTING 4X6 1/8""",Unknown,個,0,1713,0,active,,"{'category': 'Snap-on 零件', 'safety_stock': 0, 'stock_qty': 15, 'supplier': ''}"
10-15780,抽屜裝飾,抽屜裝飾,Unknown,個,0,0,0,active,,"{'category': 'Snap-on 周邊', 'safety_stock': 0, 'stock_qty': 1, 'supplier': ''}"
10-385B,Snap-on 零件 工具車 卡扣 10-385B,Snap-on 零件 工具車 卡扣 10-385B,Unknown,個,130,280,0,active,10-385B,"{'category': 'Snap-on 零件', 'safety_stock': 0, 'stock_qty': 18, 'supplier': ''}"
10-885B,Snap-on 零件 工具車 卡扣 10-885B,Snap-on 零件 工具車 卡扣 10-885B,Unknown,個,96,250,0,active,10-885B,"{'category': 'Snap-on 零件', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
10002MRMH,CDI 三分 150-1000 in-lb 扭力扳手,CDI 三分 150-1000 in-lb 扭力扳手,Unknown,支,0,14750,0,active,10002MRMH,"{'category': 'CDI 扭力扳手系列', 'safety_stock': 0, 'stock_qty': 4, 'supplier': ''}"
10002MRMHW,CDI 三分 150-1000 in-lb 扭力扳手,CDI 三分 150-1000 in-lb 扭力扳手,Unknown,支,0,0,0,active,10002MRMHW,"{'category': 'CDI 扭力扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
10005MFRMH,CDI 1吋 200-1000 ft-lb 扭力扳手,CDI 1吋 200-1000 ft-lb 扭力扳手,Unknown,支,0,106150,0,active,10005MFRMH,"{'category': 'CDI 扭力扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
1002MFRMH,CDI 三分 10-100 ft-lb 扭力扳手,CDI 三分 10-100 ft-lb 扭力扳手,Unknown,支,0,14650,0,active,1002MFRMH,"{'category': 'CDI 扭力扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
102LHCP,Snap-on 2pc 長尖嘴鉗套組,Snap-on 2pc 長尖嘴鉗套組,Unknown,套組,0,7200,0,active,102LHCP,"{'category': 'Snap-on 鉗子系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
103UFTS,Snap-on 3件式 萬向套筒組,Snap-on 3件式 萬向套筒組,Unknown,套組,0,9600,0,active,103UFTS,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
10597,Snap-on零件 10597,Snap-on零件 10597,Unknown,件,0,293,0,active,10597,"{'category': 'Snap-on 零件', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
106ATMXWP,"Snap-on 6件式 1/4"" 延長接桿組 (1-1/4-11"")","Snap-on 6件式 1/4"" 延長接桿組 (1-1/4-11"")",Unknown,套組,0,7150,6195,active,106ATMXWP,"{'category': 'Snap-on 其他工具', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
106BTMX,"Snap-on 6件式 1/4"" 接桿套組","Snap-on 6件式 1/4"" 接桿套組",Unknown,套組,0,7150,5145,active,106BTMX,"{'category': 'Snap-on 其他工具', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
106ETMAMY,Snap-on 6件式 二分 內六角套組 (2-6 mm),Snap-on 6件式 二分 內六角套組 (2-6 mm),Unknown,套組,0,7000,0,active,106ETMAMY,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
106RTLE,"Snap-on 6件1/4""驅動低位倒置TORX®套筒組(E4-E10)","Snap-on 6件1/4""驅動低位倒置TORX®套筒組(E4-E10)",Unknown,套組,0,4900,0,active,,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
106TMUA,Snap-on 6件式 12角 SAE 萬向短套筒組,Snap-on 6件式 12角 SAE 萬向短套筒組,Unknown,套組,0,14590,0,active,106TMUA,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
106TTX,"Snap-on 6 件 1/4"" TORX® 標準旋具套筒組","Snap-on 6 件 1/4"" TORX® 標準旋具套筒組",Unknown,套組,0,9450,0,active,106TTX,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
106TTXRTP,Snap-on 6件式 二分 中空星型套組 (8IP-25IP),Snap-on 6件式 二分 中空星型套組 (8IP-25IP),Unknown,套組,0,9350,0,active,106TTXRTP,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
107ATMPB,"Snap-on 7件式 1/4"" 二分 可延伸扳手套組","Snap-on 7件式 1/4"" 二分 可延伸扳手套組",Unknown,套組,9310,14110,0,active,107ATMPB,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 8, 'supplier': ''}"
10940,Snap-on零件 10940,Snap-on零件 10940,Unknown,件,0,411,0,active,10940,"{'category': 'Snap-on 零件', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
10R,"Snap-on 10"" 切割圓形銼刀","Snap-on 10"" 切割圓形銼刀",Unknown,支,422,900,0,active,10R,"{'category': 'Snap-on 錐子系列', 'safety_stock': 0, 'stock_qty': 1, 'supplier': ''}"
110ETMAY,"Snap-on 10件式 二分 6角鑽頭套組 (1/16-1/4"")","Snap-on 10件式 二分 6角鑽頭套組 (1/16-1/4"")",Unknown,套組,0,10665,0,active,110ETMAY,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
110STMDY,"Snap-on 10件式 二分 12角 長套筒組 (3/16–9/16"")","Snap-on 10件式 二分 12角 長套筒組 (3/16–9/16"")",Unknown,套組,0,11520,0,active,110STMDY,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 2, 'supplier': ''}"
110STMY,"Snap-on 10件 1/4"" 6角 SAE Flank Drive® 長套筒","Snap-on 10件 1/4"" 6角 SAE Flank Drive® 長套筒",Unknown,套組,0,0,0,active,110STMY,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 1, 'supplier': ''}"
110TMDSY,"Snap-on 10件式 二分 12角 中長套筒組 (3/16–9/16"")","Snap-on 10件式 二分 12角 中長套筒組 (3/16–9/16"")",Unknown,套組,0,10025,0,active,110TMDSY,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
110TMDY,"Snap-on 10件式 二分 12角 短套筒組 (3/16–9/16"")","Snap-on 10件式 二分 12角 短套筒組 (3/16–9/16"")",Unknown,套組,0,7255,0,active,110TMDY,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 2, 'supplier': ''}"
110TMSY,"Snap-on 10件式 1/4""驅動 6角英制中長套筒組 3/16–9/16""","Snap-on 10件式 1/4""驅動 6角英制中長套筒組 3/16–9/16""",Unknown,套組,0,11000,0,active,110TMSY,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
11125,"Norbar 3/8"" 三分 可調式機械扭力扳手 4 - 20 N·m","Norbar 3/8"" 三分 可調式機械扭力扳手 4 - 20 N·m",Unknown,支,0,0,0,active,11125,"{'category': '其他品牌工具', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
111M-14T,BAHCO 開口梅花扳手14件套組,BAHCO 開口梅花扳手14件套組,Unknown,件,1859,4883,0,active,,"{'category': 'BAHCO 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
111TMMDY,Snap-on 11件式 二分 12角 套筒組 (5-14mm),Snap-on 11件式 二分 12角 套筒組 (5-14mm),Unknown,套組,5093,7720,0,active,111TMMDY,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 7, 'supplier': ''}"
112,Muc-Off UV紫外線手電筒,Muc-Off UV紫外線手電筒,Unknown,支,156,399,339,active,5037835112009,"{'category': 'Muc-Off停產產品', 'safety_stock': 1, 'stock_qty': 0, 'supplier': ''}"
112RTA,"Snap-on 12件式 二分 薄型棘輪套筒組 (3/16-9/16"")","Snap-on 12件式 二分 薄型棘輪套筒組 (3/16-9/16"")",Unknown,套組,0,12160,0,active,112RTA,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
112RTMA,"Snap-on 12件式 1/4""驅動 12角公制 薄型棘輪扳手／套筒組","Snap-on 12件式 1/4""驅動 12角公制 薄型棘輪扳手／套筒組",Unknown,套組,0,11800,0,active,112RTMA,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
112STMMY,Snap-on 12件式 二分 6角 長套筒組 (5-15mm),Snap-on 12件式 二分 6角 長套筒組 (5-15mm),Unknown,套組,0,14800,0,active,112STMMY,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 5, 'supplier': ''}"
112TMMSY,"Snap-on 12件式 1/4""驅動 6角公制 中長套筒組 5–15 mm","Snap-on 12件式 1/4""驅動 6角公制 中長套筒組 5–15 mm",Unknown,套組,0,13650,0,active,112TMMSY,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 1, 'supplier': ''}"
112TMMY,Snap-on 12件式 二分 6角 短套筒組 (5-15mm),Snap-on 12件式 二分 6角 短套筒組 (5-15mm),Unknown,套組,0,10000,0,active,112TMMY,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 2, 'supplier': ''}"
112YSTMMY,Snap-on 12件式 二分 6角加長套筒組 (5-15mm),Snap-on 12件式 二分 6角加長套筒組 (5-15mm),實耐寶,套組,9236,14000,0,active,112YSTMMY,"{'category': 'Snap-on 套筒系列', 'safety_stock': 1, 'stock_qty': 7, 'supplier': '實耐寶'}"
112YTMMY,Snap-on 12件式 二分 6角 Xtra 短套筒組(5–15 mm),Snap-on 12件式 二分 6角 Xtra 短套筒組(5–15 mm),Unknown,套組,0,11000,0,active,112YTMMY,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
1132,Muc-Off 高效能免水洗機車清潔劑 750ml,Muc-Off 高效能免水洗機車清潔劑 750ml,Unknown,瓶,202,559,475,active,5037835113204,"{'category': 'Muc-Off', 'safety_stock': 1, 'stock_qty': 50, 'supplier': ''}"
114ATMP,"Snap-on 14件式 1/4"" 6角 SAE標準板手套筒組","Snap-on 14件式 1/4"" 6角 SAE標準板手套筒組",Unknown,套組,0,18150,0,active,114ATMP,"{'category': 'Snap-on 工具套組', 'safety_stock': 0, 'stock_qty': 1, 'supplier': ''}"
1162N-1-2,BAHCO 13mm短捲尺,BAHCO 13mm短捲尺,Unknown,個,0,500,0,active,1162N-1/2,"{'category': 'BAHCO', 'safety_stock': 0, 'stock_qty': 6, 'supplier': ''}"
117TMM,Snap-on 17件式 二分 6角 棘輪扳手套筒組,Snap-on 17件式 二分 6角 棘輪扳手套筒組,Unknown,套組,0,20175,0,active,117TMM,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
1206GS,Snap-on 6件式 轉接頭套組,Snap-on 6件式 轉接頭套組,Unknown,套組,0,7850,0,active,1206GS,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
120DTMPB,"Snap-on 20件式  1/4"" 二分 必備棘輪扳手/套筒工具組","Snap-on 20件式  1/4"" 二分 必備棘輪扳手/套筒工具組",Unknown,套組,0,28900,0,active,120DTMPB,"{'category': 'Snap-on 工具套組', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
120SSDP,Blue-Point 90度螺絲起子 弓形 #1 #2,Blue-Point 90度螺絲起子 弓形 #1 #2,Unknown,支,0,550,0,active,120SSDP,"{'category': '美國藍點 起子系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
120STTM,"Snap-on 20件式 1/4"" 6角 SAE 短/長套筒組","Snap-on 20件式 1/4"" 6角 SAE 短/長套筒組",Unknown,套組,0,18050,0,active,120STTM,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 1, 'supplier': ''}"
124STTMM,Snap-on 24件 二分6角 Flank Drive® 短/加長套筒組,Snap-on 24件 二分6角 Flank Drive® 短/加長套筒組,Unknown,套組,0,26650,0,active,124STTMM,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
1266,OTC 可調式液壓缸螺帽專用扳手,OTC 可調式液壓缸螺帽專用扳手,Unknown,件,0,0,0,active,1266,"{'category': 'OTC 專業工具', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
128322,Snap-on 原廠精品 烤肉叉,Snap-on 原廠精品 烤肉叉,Unknown,個,349,0,0,active,,"{'category': 'Snap-on 周邊', 'safety_stock': 0, 'stock_qty': 1, 'supplier': ''}"
12MSKTHBLK,"Snap-on 1/2"" 公/英制 磁性套筒托盤 黑色","Snap-on 1/2"" 公/英制 磁性套筒托盤 黑色",Unknown,件,0,0,0,active,12MSKTHBLK,"{'category': 'Snap-on 其他工具', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
12MSKTHRED,Snap-on 四分 套筒插座托盤 紅,Snap-on 四分 套筒插座托盤 紅,Unknown,套組,0,3250,0,active,12MSKTHRED,"{'category': 'Snap-on 周邊', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
12MSWHLDR,"Snap-on 1/2"" 磁性套筒/扳手支架 黑","Snap-on 1/2"" 磁性套筒/扳手支架 黑",Unknown,件,0,3100,0,active,12MSWHLDR,"{'category': 'Snap-on 周邊', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
131TMPB,"Snap-on 31件式 1/4""六角淺套筒工具組","Snap-on 31件式 1/4""六角淺套筒工具組",Unknown,套組,0,34800,0,active,131TMPB,"{'category': 'Snap-on 工具套組', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
133SGM-70,BAHCO 開口敲擊扳手 70mm,BAHCO 開口敲擊扳手 70mm,Unknown,支,0,0,0,active,133SGM-70,"{'category': 'BAHCO 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
135566,Snap-on 原廠精品 冰淇淋勺子,Snap-on 原廠精品 冰淇淋勺子,Unknown,支,747,0,0,active,,"{'category': 'Snap-on 周邊', 'safety_stock': 0, 'stock_qty': 3, 'supplier': ''}"
140041,Snap-on 原廠精品 披薩刀,Snap-on 原廠精品 披薩刀,Unknown,支,747,0,0,active,,"{'category': 'Snap-on 周邊', 'safety_stock': 0, 'stock_qty': 3, 'supplier': ''}"
1414,Snap-on零件 1414,Snap-on零件 1414,Unknown,件,0,582,0,active,1414,"{'category': 'Snap-on 零件', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
1415,Snap-on零件 1415,Snap-on零件 1415,Unknown,件,0,1918,0,active,1415,"{'category': 'Snap-on 零件', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
142STMMSYFR1,Snap-on 42件式 二分 6角套筒組 (4–15mm) 含泡棉,Snap-on 42件式 二分 6角套筒組 (4–15mm) 含泡棉,Unknown,套組,0,45700,0,active,142STMMSYFR1,"{'category': 'Snap-on 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
145RTMLE,"Snap-on 45件式 1/4""驅動 薄型棘輪扳手／套筒專業套組","Snap-on 45件式 1/4""驅動 薄型棘輪扳手／套筒專業套組",Unknown,套組,0,34150,0,active,145RTMLE,"{'category': 'Snap-on 工具套組', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
1470,Snap-on零件 1470,Snap-on零件 1470,Unknown,件,0,293,0,active,1470,"{'category': 'Snap-on 零件', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
1475JL81DGR,美國藍點七抽BLP13007FCDGRB抽屜 1-5層 單層,美國藍點七抽BLP13007FCDGRB抽屜 1-5層 單層,Unknown,件,731,1462,0,active,1475JL81DGR,"{'category': '美國藍點 系統櫃', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
1475JL82DGR,美國藍點七抽BLP13007FCDGRB抽屜 第6層,美國藍點七抽BLP13007FCDGRB抽屜 第6層,Unknown,件,1032,2064,0,active,1475JL82DGR,"{'category': '美國藍點 系統櫃', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
1475JL84DGR,美國藍點七抽BLP13007FCDGRB抽屜 第7層,美國藍點七抽BLP13007FCDGRB抽屜 第7層,Unknown,件,1161,2322,0,active,1475JL84DGR,"{'category': '美國藍點 系統櫃', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
1475KXL12,BAHCO C75 12抽工具推車 橘色,BAHCO C75 12抽工具推車 橘色,Unknown,個,21071,52680,0,active,1475KXL12,"{'category': 'BAHCO 工具車', 'safety_stock': 0, 'stock_qty': 2, 'supplier': ''}"
1477K-01LBD,BAHCO 滾珠軸承滑軌,BAHCO 滾珠軸承滑軌,Unknown,個,0,491,0,active,,"{'category': 'BAHCO 工具車配件', 'safety_stock': 0, 'stock_qty': 2, 'supplier': ''}"
1477K-AC10,BAHCO 工具車底抽,BAHCO 工具車底抽,Unknown,個,1956,4890,0,active,,"{'category': 'BAHCO 工具車配件', 'safety_stock': 1, 'stock_qty': 1, 'supplier': ''}"
1477K-AC12,BAHCO 直立式收納板,BAHCO 直立式收納板,Unknown,個,1432,3580,0,active,,"{'category': 'BAHCO 工具車配件', 'safety_stock': 1, 'stock_qty': 1, 'supplier': ''}"
1477K-AC14,BAHCO 直立式文件板,BAHCO 直立式文件板,Unknown,個,512,1280,0,active,,"{'category': 'BAHCO 工具車配件', 'safety_stock': 1, 'stock_qty': 1, 'supplier': ''}"
1477K-AC15,BAHCO 筆電/平板支撐架,BAHCO 筆電/平板支撐架,Unknown,個,2208,5520,0,active,,"{'category': 'BAHCO 工具車配件', 'safety_stock': 1, 'stock_qty': 1, 'supplier': ''}"
1477K-AC18,BAHCO 紙巾掛架,BAHCO 紙巾掛架,Unknown,個,752,1880,0,active,,"{'category': 'BAHCO 工具車配件', 'safety_stock': 1, 'stock_qty': 1, 'supplier': ''}"
1477K-AC20,BAHCO 懸掛收納盒,BAHCO 懸掛收納盒,Unknown,個,640,1600,0,active,,"{'category': 'BAHCO 工具車配件', 'safety_stock': 0, 'stock_qty': 1, 'supplier': ''}"
1477K-AC21,BAHCO 懸掛電動工具架,BAHCO 懸掛電動工具架,Unknown,個,1336,3340,0,active,,"{'category': 'BAHCO 工具車配件', 'safety_stock': 1, 'stock_qty': 1, 'supplier': ''}"
1477K7,BAHCO E77 七抽工具車 橘色,BAHCO E77 七抽工具車 橘色,Unknown,個,12000,21000,0,active,1477K7,"{'category': 'BAHCO 工具車', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
1477K7BLACK,BAHCO E77 七抽工具車 黑色,BAHCO E77 七抽工具車 黑色,Unknown,件,12000,21000,0,active,1477K7BLACK,"{'category': 'BAHCO 工具車', 'safety_stock': 0, 'stock_qty': 2, 'supplier': ''}"
1477K7GREY,BAHCO E77 七抽工具車 灰色,BAHCO E77 七抽工具車 灰色,Unknown,件,12000,21000,0,active,1477K7GREY,"{'category': 'BAHCO 工具車', 'safety_stock': 0, 'stock_qty': 1, 'supplier': ''}"
1487K4BKW,BAHCO E87四抽工具車(黑色),BAHCO E87四抽工具車(黑色),Unknown,件,12000,49710,0,active,,"{'category': 'BAHCO 工具箱系列', 'safety_stock': 1, 'stock_qty': 1, 'supplier': ''}"
149994,Snap-on 原廠精品 MAGNETIC GOLF DIVOT,Snap-on 原廠精品 MAGNETIC GOLF DIVOT,Unknown,個,249,0,0,active,,"{'category': 'Snap-on 周邊', 'safety_stock': 0, 'stock_qty': 10, 'supplier': ''}"
14MSKTHRED,Snap-on 二分 套筒插座托盤 紅,Snap-on 二分 套筒插座托盤 紅,Unknown,套組,0,2800,0,active,14MSKTHRED,"{'category': 'Snap-on 周邊', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
1501MRMH,CDI 二分 20-150 in-lb 扭力扳手,CDI 二分 20-150 in-lb 扭力扳手,Unknown,支,0,0,0,active,1501MRMH,"{'category': 'CDI 扭力扳手系列', 'safety_stock': 0, 'stock_qty': 2, 'supplier': ''}"
1502683,Snap-on 原廠精品 配送車模型,Snap-on 原廠精品 配送車模型,Unknown,個,598,0,0,active,,"{'category': 'Snap-on 周邊', 'safety_stock': 0, 'stock_qty': 4, 'supplier': ''}"
1502MRMH,CDI 三分 20-150 in-lb 扭力扳手,CDI 三分 20-150 in-lb 扭力扳手,Unknown,支,0,0,0,active,1502MRMH,"{'category': 'CDI 扭力扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
1503MFMH,CDI 四分 20-150 ft-lb 扭力扳手,CDI 四分 20-150 ft-lb 扭力扳手,Unknown,支,0,16650,0,active,1503MFMH,"{'category': 'CDI 扭力扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
15200,Snap-on 零件 (EAC0087G45A),Snap-on 零件 (EAC0087G45A),Unknown,個,1521,0,0,active,,"{'category': 'Snap-on 零件', 'safety_stock': 0, 'stock_qty': 6, 'supplier': ''}"
154,Muc-Off 工作手套 L,Muc-Off 工作手套 L,Unknown,個,0,399,0,active,5037835154009,"{'category': 'Muc-Off', 'safety_stock': 0, 'stock_qty': 117, 'supplier': ''}"
1544,BAHCO 專業級 26 片裝厚薄規 (型號 1544),BAHCO 專業級 26 片裝厚薄規 (型號 1544),Unknown,件,0,0,0,active,1544,"{'category': 'BAHCO 工具套組', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
155,Muc-Off 工作手套 XL,Muc-Off 工作手套 XL,Unknown,件,0,399,0,active,5037835155006,"{'category': 'Muc-Off', 'safety_stock': 0, 'stock_qty': 86, 'supplier': ''}"
1650,Snap-on  16 吋 撬棒,Snap-on  16 吋 撬棒,Unknown,件,0,0,0,active,1650,"{'category': 'Snap-on 其他工具', 'safety_stock': 0, 'stock_qty': 1, 'supplier': ''}"
1682,Snap-on 零件 ST0001682,Snap-on 零件 ST0001682,Unknown,個,176,0,0,active,,"{'category': 'Snap-on 零件', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
1683,Snap-on 零件 ST0001683,Snap-on 零件 ST0001683,Unknown,個,176,0,0,active,,"{'category': 'Snap-on 零件', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
1684,Snap-on零件 1684,Snap-on零件 1684,Unknown,件,0,293,0,active,1684,"{'category': 'Snap-on 零件', 'safety_stock': 0, 'stock_qty': 9, 'supplier': ''}"
16R-1-2,BAHCO 4分棘輪扭力扳手轉接頭,BAHCO 4分棘輪扭力扳手轉接頭,Unknown,件,2070,3625,0,active,16R-1-2,"{'category': 'BAHCO 扭力扳手系列', 'safety_stock': 1, 'stock_qty': 8, 'supplier': ''}"
16R-1-4,BAHCO 2分 棘輪扭力扳手轉接頭,BAHCO 2分 棘輪扭力扳手轉接頭,Unknown,件,2025,3545,0,active,16R-1-4,"{'category': 'BAHCO 扭力扳手系列', 'safety_stock': 0, 'stock_qty': 4, 'supplier': ''}"
16R-3-8,BAHCO 3分棘輪扭力扳手轉接頭,BAHCO 3分棘輪扭力扳手轉接頭,Unknown,件,2025,3545,0,active,7314150418596,"{'category': 'BAHCO 扭力扳手系列', 'safety_stock': 1, 'stock_qty': 9, 'supplier': ''}"
1896-CN,Snap-on零件 1896-CN,Snap-on零件 1896-CN,Unknown,件,0,1499,0,active,1896-CN,"{'category': 'Snap-on 零件', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
193671,Snap-on 原廠精品 不鏽鋼保溫杯 2入組,Snap-on 原廠精品 不鏽鋼保溫杯 2入組,Unknown,個,996,0,0,active,,"{'category': 'Snap-on 周邊', 'safety_stock': 0, 'stock_qty': 3, 'supplier': ''}"
193946,Snap-on 原廠精品 梳子,Snap-on 原廠精品 梳子,Unknown,支,399,0,0,active,,"{'category': 'Snap-on 周邊', 'safety_stock': 0, 'stock_qty': 4, 'supplier': ''}"
1952M-10,BAHCO 10mm梅開扳手,BAHCO 10mm梅開扳手,Unknown,支,113,290,0,active,,"{'category': 'BAHCO 扳手系列', 'safety_stock': 0, 'stock_qty': 7, 'supplier': ''}"
1952M-11,BAHCO 11mm梅開扳手,BAHCO 11mm梅開扳手,Unknown,支,115,290,0,active,,"{'category': 'BAHCO 扳手系列', 'safety_stock': 0, 'stock_qty': 7, 'supplier': ''}"
1952M-12,BAHCO 12mm梅開扳手,BAHCO 12mm梅開扳手,Unknown,支,119,300,0,active,,"{'category': 'BAHCO 扳手系列', 'safety_stock': 0, 'stock_qty': 7, 'supplier': ''}"
1952M-13,BAHCO 13mm梅開扳手,BAHCO 13mm梅開扳手,Unknown,支,78,200,0,active,,"{'category': 'BAHCO 扳手系列', 'safety_stock': 0, 'stock_qty': 7, 'supplier': ''}"
1952M-14,BAHCO 14mm梅開扳手,BAHCO 14mm梅開扳手,Unknown,支,145,370,0,active,,"{'category': 'BAHCO 扳手系列', 'safety_stock': 0, 'stock_qty': 7, 'supplier': ''}"
1952M-15,BAHCO 15mm梅開扳手,BAHCO 15mm梅開扳手,Unknown,支,196,490,0,active,,"{'category': 'BAHCO 扳手系列', 'safety_stock': 0, 'stock_qty': 7, 'supplier': ''}"
1952M-16,BAHCO 16mm梅開扳手,BAHCO 16mm梅開扳手,Unknown,支,100,250,0,active,,"{'category': 'BAHCO 扳手系列', 'safety_stock': 0, 'stock_qty': 7, 'supplier': ''}"
1952M-17,BAHCO 17mm梅開扳手,BAHCO 17mm梅開扳手,Unknown,支,121,310,0,active,,"{'category': 'BAHCO 扳手系列', 'safety_stock': 0, 'stock_qty': 7, 'supplier': ''}"
1952M-18,BAHCO 18mm梅開扳手,BAHCO 18mm梅開扳手,Unknown,支,112,280,0,active,,"{'category': 'BAHCO 扳手系列', 'safety_stock': 0, 'stock_qty': 7, 'supplier': ''}"
1952M-19,BAHCO 19mm梅開扳手,BAHCO 19mm梅開扳手,Unknown,支,136,340,0,active,,"{'category': 'BAHCO 扳手系列', 'safety_stock': 0, 'stock_qty': 7, 'supplier': ''}"
1952M-20,BAHCO 20mm梅開扳手,BAHCO 20mm梅開扳手,Unknown,支,143,360,0,active,,"{'category': 'BAHCO 扳手系列', 'safety_stock': 0, 'stock_qty': 7, 'supplier': ''}"
1952M-21,BAHCO 21mm梅開扳手,BAHCO 21mm梅開扳手,Unknown,支,144,360,0,active,,"{'category': 'BAHCO 扳手系列', 'safety_stock': 0, 'stock_qty': 7, 'supplier': ''}"
